"","City","Cost.of.Living.Index","Rent.Index","Cost.of.Living.Plus.Rent.Index","Groceries.Index","Restaurant.Price.Index","Local.Purchasing.Power.Index"
"393","Baghdad",46.05,14.76,30.96,40.35,42.03,52.05
"394","Selangor",46.04,11.34,29.31,50.35,23.26,88.61
"395","Olomouc",45.99,13.01,30.08,43.34,31.6,79.5
"396","Krakow",45.79,18.18,32.48,36.66,38.32,73.59
"397","Maputo",45.29,18.58,32.41,36.64,41.88,33.15
"398","Poznan",45.27,15.45,30.89,37.57,37.54,74.63
"399","Debrecen",44.92,10.34,28.24,37.81,33.04,48.52
"400","Bydgoszcz",44.91,15.1,30.53,35.24,37.73,66.01
"401","Ostrava",44.78,10.73,28.36,38.89,32.47,78.36
"402","Istanbul",44.73,14.35,30.08,39.35,33,54.57
"403","Podgorica",44.68,11.1,28.48,35.64,37.75,51.8
"404","Szczecin",44.61,12.73,29.23,35.91,34.7,60.33
"405","Bucharest",44.38,14,29.73,36.6,40.58,58.75
"406","Belgrade",43.99,12.28,28.7,32.31,38.34,40.25
"407","Lima",43.92,17.91,31.38,39.88,31.53,39.55
"408","Bali",43.73,8.12,26.56,49.07,25.29,29.2
"409","Lodz",43.68,12.79,28.78,34.02,36.68,70.09
"410","Guangzhou",43.5,20.93,32.61,44.04,27.37,79.47
"411","Sofia",43.11,12.96,28.57,37.06,34.44,60.66
"412","Sarajevo",42.5,10.13,26.89,35.37,31.5,48.89
"413","Manila",42.4,19.94,31.57,38.19,29.13,43.04
"414","Lublin",42.33,18.04,30.62,34.52,34.11,57.02
"415","Katowice",42.28,12.37,27.86,34.17,32.56,81.77
"416","Varna",42.26,8.71,26.08,37.66,34.85,48.43
"417","Nairobi",42.06,12.27,27.7,40.4,34.31,27.87
